epoch,train_loss,val_l1,val_ssim,val_total
1,0.07184188305583906,0.013289817349774944,0.6468379682110202,0.06427064951565567
2,0.0627825974109566,0.012246025027707219,0.6752058277687719,0.059128247108235346
3,0.05600351791922337,0.010756752073704716,0.7182329165358697,0.051408301782268545
4,0.04902585436953866,0.009991660864362794,0.7414854080926987,0.04727010052080357
5,0.04453827956137264,0.009308504371062643,0.7622544768837191,0.043574057182845384
6,0.041694835748349895,0.008875427330513636,0.7776067946226366,0.040903094037541096
7,0.0398331050350461,0.00865250404233173,0.7857190283556138,0.039496774182639895
8,0.03806567064963789,0.008313777335288543,0.7986293362513666,0.03727231029729028
9,0.03684764619395938,0.008298221209477033,0.8023688583604751,0.03669815927398421
10,0.03567686316734146,0.008043317073175023,0.8103527978543312,0.03528389983404908
11,0.034667776411526095,0.007925164854274162,0.8151080138741001,0.034470188045018016
12,0.03365132691051584,0.007681634809611545,0.8232969125432353,0.03303485270668451
13,0.03284088814477553,0.007850185503822662,0.8170137619299274,0.03412059338876016
14,0.03227409352565111,0.0074788981012158815,0.829968372756435,0.03186180747256825
15,0.031714869434795075,0.007567501684740907,0.8293337231201511,0.03203231796400711
16,0.03118246260322764,0.007417666843731798,0.8335938283512669,0.03126594256448199
17,0.030757384978261474,0.007498782038718703,0.8319800508118445,0.03157695711113423
18,0.030599274932269983,0.007312899745339828,0.837134591610201,0.030645776042008705
19,0.029994570236906784,0.0073446484853423415,0.8372583161919348,0.03065420378375077
20,0.029682444516689548,0.007272354201714118,0.8389961758448231,0.03033207469473353
21,0.029386882447908002,0.007420797709135279,0.8367450295917449,0.03079592361400325
22,0.029045906406576914,0.007213686019437567,0.8420454302141743,0.02982481858439578
23,0.028788218424258265,0.007263778608232256,0.8414432572260979,0.02995772323308273
24,0.028520454442308794,0.007070678727130496,0.8463634747651315,0.029055555703291193
25,0.028184956633969874,0.007092432760363144,0.847505557008328,0.028902734295059476
26,0.028035790263591702,0.007010267441716766,0.8484632137802339,0.02868924525842416
27,0.027973739258063738,0.007274653794123761,0.8430536198039209,0.029725412754417063
28,0.027638231271270356,0.006990463134922808,0.8495869237088388,0.028503855108358563
29,0.027607737134434415,0.007062031215267076,0.8455524344117411,0.029169861371215848
30,0.02716578621964728,0.00688525105661322,0.853624470628077,0.027808792803909684
31,0.025975081631680115,0.006800438626669347,0.8551846970954249,0.027502668268355214
32,0.025995546918509253,0.0068017438440884075,0.8562214683140478,0.02734826202036798
33,0.02577787961904293,0.0067800497226867705,0.8568605487385104,0.0272339599535072
34,0.02571846185832895,0.00670237630125015,0.8584967172434254,0.026922512269548823
35,0.025637047717808396,0.006697212739081512,0.8586796955716225,0.02689067649247591
36,0.02546541669996836,0.006676630880082807,0.8600994863337086,0.026660213298014095
37,0.02534072497946387,0.006731029742607667,0.8573910589179685,0.02711271644352124
38,0.02532014351298091,0.006668218441547886,0.8596778220707371,0.026716312364705144
39,0.025229270605363726,0.0066787091786071895,0.8593311085816353,0.026777236514570816
40,0.025140399270854544,0.006714037550808561,0.858497214557663,0.02693234973453782
41,0.02510714595703455,0.006670803968764601,0.859775485098362,0.02670386060869561
42,0.024958759260540794,0.0067191273124227605,0.8579842006487232,0.02701362811825087
43,0.024976884663158422,0.006661065958530432,0.8597022348834622,0.02670657083223154
44,0.02489317804107636,0.006622014802339817,0.8607539406226528,0.026515621488590928
